genres,id,original_title,overview,popularity,poster_path,production_companies,release_date,tagline,title,vote_average,vote_count,genres_clean,companies_text,content
action adventure,1408,cutthroat island,"morgan adams and her slave, william shaw, are on a quest to recover the three portions of a treasure map. unfortunately, the final portion is held by her murderous uncle, dawg. her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. this is made yet more difficult by the efforts of the british crown to end her pirate raids.",7.284477,/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,"[{'name': 'Le Studio Canal+', 'id': 183}, {'name': 'Laurence Mark Productions', 'id': 415}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Carolco Pictures', 'id': 14723}]",1995-12-22,the course has been set. there is no turning back. prepare your weapons. summon your courage. discover the adventure of a lifetime!,cutthroat island,5.7,137.0,"['Action', 'Adventure']",le studio canal+ laurence mark productions metro-goldwyn-mayer (mgm) carolco pictures,"cutthroat island action adventure morgan adams and her slave, william shaw, are on a quest to recover the three portions of a treasure map. unfortunately, the final portion is held by her murderous uncle, dawg. her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. this is made yet more difficult by the efforts of the british crown to end her pirate raids. the course has been set. there is no turning back. prepare your weapons. summon your courage. discover the adventure of a lifetime! le studio canal+ laurence mark productions metro-goldwyn-mayer (mgm) carolco pictures"
crime comedy,5,four rooms,it's ted the bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. it seems that this evening's room service is serving up one unbelievable happening after another.,9.026586,/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'A Band Apart', 'id': 59}]",1995-12-09,"twelve outrageous guests. four scandalous requests. and one lone bellhop, in his first day on the job, who's in for the wildest new year's eve of his life.",four rooms,6.5,539.0,"['Comedy', 'Crime']",miramax films a band apart,"four rooms crime comedy it's ted the bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. it seems that this evening's room service is serving up one unbelievable happening after another. twelve outrageous guests. four scandalous requests. and one lone bellhop, in his first day on the job, who's in for the wildest new year's eve of his life. miramax films a band apart"
fantasy science fiction adventure,902,la cité des enfants perdus,"a scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",9.822423,/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg,"[{'name': 'Procirep', 'id': 311}, {'name': 'Constellation Productions', 'id': 590}, {'name': 'France 3 Cinéma', 'id': 591}, {'name': 'Claudie Ossard Productions', 'id': 592}, {'name': 'Eurimages', 'id': 850}, {'name': 'MEDIA Programme of the European Union', 'id': 851}, {'name': 'Cofimage 5', 'id': 1871}, {'name': 'Televisión Española (TVE)', 'id': 6639}, {'name': 'Tele München Fernseh Produktionsgesellschaft (TMG)', 'id': 7237}, {'name': ""Club d'Investissement Média"", 'id': 8170}, {'name': 'Canal+ España', 'id': 9335}, {'name': 'Elías Querejeta Producciones Cinematográficas S.L.', 'id': 12009}, {'name': 'Centre National de la Cinématographie (CNC)', 'id': 18367}, {'name': 'Victoires Productions', 'id': 25020}, {'name': 'Constellation', 'id': 25021}, {'name': 'Lumière Pictures', 'id': 25129}, {'name': 'Canal+', 'id': 47532}, {'name': 'Studio Image', 'id': 68517}, {'name': 'Cofimage 4', 'id': 79437}, {'name': 'Ossane', 'id': 79438}, {'name': 'Phoenix Images', 'id': 79439}]",1995-05-16,where happily ever after is just a dream.,the city of lost children,7.6,308.0,"['Fantasy', 'Science Fiction', 'Adventure']",procirep constellation productions france 3 cinéma claudie ossard productions eurimages media programme of the european union cofimage 5 televisión española (tve) tele münchen fernseh produktionsgesellschaft (tmg) club d'investissement média canal+ españa elías querejeta producciones cinematográficas s.l. centre national de la cinématographie (cnc) victoires productions constellation lumière pictures canal+ studio image cofimage 4 ossane phoenix images,"the city of lost children fantasy science fiction adventure a scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process. where happily ever after is just a dream. procirep constellation productions france 3 cinéma claudie ossard productions eurimages media programme of the european union cofimage 5 televisión española (tve) tele münchen fernseh produktionsgesellschaft (tmg) club d'investissement média canal+ españa elías querejeta producciones cinematográficas s.l. centre national de la cinématographie (cnc) victoires productions constellation lumière pictures canal+ studio image cofimage 4 ossane phoenix images"
music drama family,2054,mr. holland's opus,"in 1965, passionate musician glenn holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. as the decades roll by with the composition unwritten but generations of students inspired through his teaching, holland must redefine his life's purpose.",7.137117,/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'The Charlie Mopic Company', 'id': 916}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'Interscope Communications', 'id': 10201}]",1995-12-29,"of all the lives he changed, the one that changed the most was his own.",mr. holland's opus,6.9,115.0,"['Drama', 'Music', 'Family']",hollywood pictures the charlie mopic company polygram filmed entertainment interscope communications,"mr. holland's opus music drama family in 1965, passionate musician glenn holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. as the decades roll by with the composition unwritten but generations of students inspired through his teaching, holland must redefine his life's purpose. of all the lives he changed, the one that changed the most was his own. hollywood pictures the charlie mopic company polygram filmed entertainment interscope communications"
romance drama comedy,1909,don juan demarco,"john arnold demarco is a man who believes he is don juan, the greatest lover in the world. clad in a cape and mask, demarco undergoes psychiatric treatment with dr. jack mickler to cure him of his apparent delusion. but the psychiatric sessions have an unexpected effect on the psychiatric staff and, most profoundly, dr mickler, who rekindles the romance in his complacent marriage.",7.438934,/fe0TuYz9jCKUba2Omj48K8bWJ8z.jpg,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'American Zoetrope', 'id': 70}]",1994-10-01,the story of the man who thought he was the greatest lover in the world... and the people who tried to cure him of it!,don juan demarco,6.3,184.0,"['Drama', 'Comedy', 'Romance']",new line cinema american zoetrope,"don juan demarco romance drama comedy john arnold demarco is a man who believes he is don juan, the greatest lover in the world. clad in a cape and mask, demarco undergoes psychiatric treatment with dr. jack mickler to cure him of his apparent delusion. but the psychiatric sessions have an unexpected effect on the psychiatric staff and, most profoundly, dr mickler, who rekindles the romance in his complacent marriage. the story of the man who thought he was the greatest lover in the world... and the people who tried to cure him of it! new line cinema american zoetrope"
horror romance,628,interview with the vampire,"a vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",11.970205,/2162lAT2MP36MyJd2sttmj5du5T.jpg,"[{'name': 'Geffen Pictures', 'id': 360}]",1994-11-11,drink from me and live forever,interview with the vampire,7.2,1558.0,"['Horror', 'Romance']",geffen pictures,"interview with the vampire horror romance a vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter. drink from me and live forever geffen pictures"
adventure action science fiction,11,star wars,princess leia is captured and held hostage by the evil imperial forces in their effort to take over the galactic empire. venturesome luke skywalker and dashing captain han solo team together with the loveable robot duo r2-d2 and c-3po to rescue the beautiful princess and restore peace and justice in the empire.,42.149697,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,"[{'name': 'Lucasfilm', 'id': 1}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]",1977-05-25,"a long time ago in a galaxy far, far away...",star wars,8.1,6778.0,"['Action', 'Science Fiction', 'Adventure']",lucasfilm twentieth century fox film corporation,"star wars adventure action science fiction princess leia is captured and held hostage by the evil imperial forces in their effort to take over the galactic empire. venturesome luke skywalker and dashing captain han solo team together with the loveable robot duo r2-d2 and c-3po to rescue the beautiful princess and restore peace and justice in the empire. a long time ago in a galaxy far, far away... lucasfilm twentieth century fox film corporation"
drama,527,once were warriors,"a drama about a maori family lving in auckland, new zealand. lee tamahori tells the story of beth heke’s strong will to keep her family together during times of unemployment and abuse from her violent and alcoholic husband.",4.025276,/1nd4SsytVc96hy92g8NNVPD3mzf.jpg,"[{'name': 'Avalon Studios', 'id': 293}, {'name': 'New Zealand Film Commission', 'id': 294}, {'name': 'New Zealand On Air', 'id': 295}]",1994-09-02,"a family in crisis, a life in chaos... nothing is more powerful than a mother's love.",once were warriors,7.6,106.0,['Drama'],avalon studios new zealand film commission new zealand on air,"once were warriors drama a drama about a maori family lving in auckland, new zealand. lee tamahori tells the story of beth heke’s strong will to keep her family together during times of unemployment and abuse from her violent and alcoholic husband. a family in crisis, a life in chaos... nothing is more powerful than a mother's love. avalon studios new zealand film commission new zealand on air"
drama mystery romance,110,trois couleurs : rouge,red this is the third film from the trilogy by kieślowski. “red” meaning brotherliness. here kieślowski masterly tells strange coincidentally linked stories in the most packed work.,7.832755,/JHmsBiX1tjCKqAul1lzC20WcAW.jpg,"[{'name': 'Zespół Filmowy TOR', 'id': 38}, {'name': 'Le Studio Canal+', 'id': 183}, {'name': 'France 3 Cinéma', 'id': 591}, {'name': 'Télévision Suisse-Romande', 'id': 1245}]",1994-05-27,,three colors: red,7.8,246.0,"['Drama', 'Romance', 'Mystery']",zespół filmowy tor le studio canal+ france 3 cinéma télévision suisse-romande,three colors: red drama mystery romance red this is the third film from the trilogy by kieślowski. “red” meaning brotherliness. here kieślowski masterly tells strange coincidentally linked stories in the most packed work.  zespół filmowy tor le studio canal+ france 3 cinéma télévision suisse-romande
science fiction action adventure thriller,193,star trek: generations,captain jean-luc picard and the crew of the enterprise-d find themselves at odds with the renegade scientist soran who is destroying entire star systems. only one man can help picard stop soran's scheme...and he's been dead for seventy-eight years.,8.105708,/gh0ZZRwSmlzEZTIZee3ZCN9Jssx.jpg,"[{'name': 'Paramount Pictures', 'id': 4}]",1994-11-17,boldly go.,star trek: generations,6.4,461.0,"['Thriller', 'Action', 'Science Fiction', 'Adventure']",paramount pictures,star trek: generations science fiction action adventure thriller captain jean-luc picard and the crew of the enterprise-d find themselves at odds with the renegade scientist soran who is destroying entire star systems. only one man can help picard stop soran's scheme...and he's been dead for seventy-eight years. boldly go. paramount pictures
